"Time","203042","","203042","","203042","","203042","","203042","","203042",""
"and","10.00","","130.00","","136.00","","422.00","","459.00","","700.00",""
"Date","Rainfall (mm)","","Res. Level (m)","","Volume (ML)","","Net Inflow 24h ML","","Storage Rel 24h ML","","Evap.[US] (mm.)",""
"","Total","Qual","Mean","Qual","Mean","Qual","Total","Qual","Total","Qual","Total","Qual"
00:00:00 01/08/2010,"",    255,     129.664,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 02/08/2010,"",    255,     129.660,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 03/08/2010,"",    255,     129.660,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 04/08/2010,"",    255,     129.660,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 05/08/2010,"",    255,     129.660,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 06/08/2010,"",    255,     129.660,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 07/08/2010,"",    255,     129.660,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 08/08/2010,"",    255,     129.660,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 09/08/2010,"",    255,     129.660,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 10/08/2010,"",    255,     129.663,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 11/08/2010,"",    255,     129.677,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 12/08/2010,"",    255,     129.670,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 13/08/2010,"",    255,     129.662,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 14/08/2010,"",    255,     129.660,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 15/08/2010,"",    255,     129.658,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 16/08/2010,"",    255,     129.660,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 17/08/2010,"",    255,     129.655,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 18/08/2010,"",    255,     129.658,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 19/08/2010,"",    255,     129.657,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 20/08/2010,"",    255,     129.660,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 21/08/2010,"",    255,     129.659,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 22/08/2010,"",    255,     129.650,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 23/08/2010,"",    255,     129.653,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 24/08/2010,"",    255,     129.660,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 25/08/2010,"",    255,     129.655,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 26/08/2010,"",    255,     129.652,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 27/08/2010,"",    255,     129.650,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 28/08/2010,"",    255,     129.650,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 29/08/2010,"",    255,     129.650,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 30/08/2010,"",    255,     129.650,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 31/08/2010,"",    255,     129.650,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 01/09/2010,"",    255,     129.650,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 02/09/2010,"",    255,     129.650,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 03/09/2010,"",    255,     129.650,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 04/09/2010,"",    255,     129.656,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 05/09/2010,"",    255,     129.679,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 06/09/2010,"",    255,     129.671,      3,"",    255,"",    255,"",    255,"",    255
00:00:00 07/09/2010,"",    255,     129.662,      4,"",    255,"",    255,"",    255,"",    255
00:00:00 08/09/2010,"",    255,     129.653,      4,"",    255,"",    255,"",    255,"",    255
00:00:00 09/09/2010,"",    255,     129.650,      4,"",    255,"",    255,"",    255,"",    255
00:00:00 10/09/2010,"",    255,     129.655,      4,"",    255,"",    255,"",    255,"",    255
00:00:00 11/09/2010,"",    255,     129.655,      4,"",    255,"",    255,"",    255,"",    255
00:00:00 12/09/2010,"",    255,     129.650,      4,"",    255,"",    255,"",    255,"",    255
00:00:00 13/09/2010,"",    255,     129.650,      4,"",    255,"",    255,"",    255,"",    255
00:00:00 14/09/2010,"",    255,     129.650,      4,"",    255,"",    255,"",    255,"",    255
00:00:00 15/09/2010,"",    255,     129.656,      4,"",    255,"",    255,"",    255,"",    255
00:00:00 16/09/2010,"",    255,     129.650,      4,"",    255,"",    255,"",    255,"",    255
00:00:00 17/09/2010,"",    255,     129.650,      4,"",    255,"",    255,"",    255,"",    255
00:00:00 18/09/2010,"",    255,     129.650,      4,"",    255,"",    255,"",    255,"",    255
00:00:00 19/09/2010,"",    255,     129.650,      4,"",    255,"",    255,"",    255,"",    255
00:00:00 20/09/2010,"",    255,     129.663,      4,"",    255,"",    255,"",    255,"",    255
00:00:00 21/09/2010,"",    255,     129.670,      4,"",    255,"",    255,"",    255,"",    255
00:00:00 22/09/2010,"",    255,     129.673,      4,"",    255,"",    255,"",    255,"",    255
00:00:00 23/09/2010,"",    255,     129.675,      4,"",    255,"",    255,"",    255,"",    255
00:00:00 24/09/2010,"",    255,     129.670,      4,"",    255,"",    255,"",    255,"",    255
00:00:00 25/09/2010,"",    255,     129.667,      4,"",    255,"",    255,"",    255,"",    255
00:00:00 26/09/2010,"",    255,     129.660,      4,"",    255,"",    255,"",    255,"",    255
00:00:00 27/09/2010,"",    255,     129.660,      4,"",    255,"",    255,"",    255,"",    255
00:00:00 28/09/2010,"",    255,     129.662,      4,"",    255,"",    255,"",    255,"",    255
00:00:00 29/09/2010,"",    255,     129.660,      4,"",    255,"",    255,"",    255,"",    255
